latitude,longitude,disaster_type,rainfall_mm,wind_speed_kmph,wind_gust_kmph,earthquake_magnitude,flood_depth_m,storm_surge_m,population_density,distance_to_tower_km,tower_density,network_signal_dbm,power_availability,road_access,terrain_elevation_m,soil_liquefaction_risk,structural_vulnerability_index,battery_reserve_hours,historical_outage_count,emergency_calls_count,tower_operational_percentage,network_congestion_percentage,distance_to_nearest_hospital_km,distance_to_nearest_relief_camp_km,historical_disaster_frequency,physical_damage_score,impact_severity,affected_radius_km,time_to_blackout_hours,silent_zone
21.894895021965432,68.62680707935216,flood,487.6377704494264,39.7488680610296,43.90314981420934,1.1715995739029992,5.362039551515261,0.2884164470148316,17435.0,3.74,1.05,-109.1,0.0,1.0,164.7,0.022,0.76,8.56,9.0,331.0,88.0,36.4,4.83,16.08,9.0,73.75,SEVERE,38.83,0.71,1
8.341422393052426,78.91259173299723,flood,323.84785790846644,42.082759858152514,47.37944122063961,1.9821477588428495,4.636097606175147,0.22927854714428672,11994.0,21.29,1.306,-97.4,0.0,1.0,41.9,0.01,0.873,7.91,12.0,618.0,92.8,79.9,4.49,24.42,4.0,62.34,SEVERE,44.83,3.17,1
26.068730117699154,90.50768988015413,cyclone,582.7834408502811,256.0910601080303,338.16542254170923,0.3966002332337589,5.303179045055407,3.1151677162817393,9427.0,6.65,1.434,-91.1,0.0,0.0,124.0,0.456,0.194,7.3,9.0,613.0,80.3,57.3,19.97,2.51,8.0,74.36,SEVERE,79.07,0.71,1
25.691334522298863,90.92968254966458,flood,438.4443049420012,31.51250840212308,38.598421671904674,0.522205178202821,5.517073884163686,0.13673964484327736,1467.0,4.26,1.736,-62.9,1.0,1.0,20.4,0.384,0.465,5.76,4.0,242.0,93.3,96.5,3.88,19.07,9.0,61.01,SEVERE,41.3,7.95,0
17.04185173676567,83.8209108946332,flood,258.22393356583433,19.03611688821943,20.676891992702302,0.9346067636361592,3.5918168769059133,0.046224683906213655,13118.0,3.22,1.19,-93.6,1.0,1.0,329.8,0.413,0.305,15.12,2.0,267.0,60.9,17.6,14.81,9.9,3.0,46.76,MODERATE,41.53,11.07,0
22.215556152761895,69.96135067406891,flood,343.87491156450506,36.07840006949166,41.62478065673136,0.5521558036191756,3.99371073992689,0.026107368869431703,3643.0,5.06,1.587,-71.6,1.0,1.0,15.9,0.439,0.298,8.69,11.0,448.0,69.3,37.0,6.55,14.85,7.0,42.37,MODERATE,22.86,7.96,0
20.814364323748208,70.74207309805666,cyclone,353.2206412141935,216.90667620362723,276.0904528204573,0.24618787090520516,2.912037252541646,2.6820943933201917,14477.0,1.02,1.57,-58.9,1.0,0.0,67.9,0.722,0.906,7.35,10.0,536.0,65.9,44.9,4.49,7.98,2.0,62.5,SEVERE,59.79,3.38,0
24.02259309428037,88.47530652781204,flood,182.785676969353,43.10274011945615,53.15720732419994,1.428664291016814,2.5574554197952466,0.15233500693110705,8788.0,2.08,1.405,-129.1,1.0,0.0,35.8,0.45,0.913,4.19,14.0,425.0,0.0,27.1,6.23,23.02,2.0,46.87,MODERATE,26.88,6.61,1
10.752289227573078,76.78408218189774,flood,305.27287695696725,36.57340830046016,43.59450297066831,0.009140160541239117,4.713670659536644,0.09207363882946414,4160.0,5.02,3.116,-68.8,1.0,1.0,58.1,0.68,0.486,8.49,12.0,347.0,59.5,66.1,3.16,1.0,9.0,49.71,MODERATE,33.7,2.46,0
27.69092673108028,91.86851388257756,cyclone,265.72379859131036,149.34189650633311,185.53197594003728,0.2622499073437844,1.9868782246701275,3.0961564471789935,17312.0,0.53,3.06,-122.0,0.0,1.0,46.4,0.51,0.121,10.09,15.0,386.0,80.8,79.9,8.73,2.85,13.0,30.96,MODERATE,43.35,2.22,1
